Feature,MI_Score,MI_Rank,ANOVA_F,ANOVA_p,ANOVA_Rank,Avg_Rank
Bwd Packet Length Mean,1.4141637186731573,2,69175.71130764183,0.0,1,1.5
Bwd Packet Length Max,1.4147534448556793,1,43642.31860272102,0.0,6,3.5
Fwd Packet Length Std,1.2995867125131546,5,66904.29192875592,0.0,2,3.5
Flow Duration,1.1558691229200244,13,58869.98763818443,0.0,3,8.0
Fwd Packet Length Max,1.2857126252280133,6,22735.479786109558,0.0,12,9.0
Total Length of Bwd Packets,1.352849501581178,4,16854.59860062356,0.0,16,10.0
Destination Port,1.3763502596062087,3,16197.911610198582,0.0,17,10.0
Fwd Packet Length Min,1.106805069232962,17,48650.71058668327,0.0,4,10.5
Bwd Packet Length Std,1.1366035791244102,14,40977.09018665887,0.0,8,11.0
Flow IAT Min,1.2489985391890843,8,21102.875249450284,0.0,14,11.0
Bwd Packet Length Min,1.0845496982585443,18,43685.3075582035,0.0,5,11.5
Fwd Packet Length Mean,1.188676887372527,12,24395.496603277952,0.0,11,11.5
Flow IAT Mean,1.1961804093431163,11,22494.649619670003,0.0,13,12.0
Total Backward Packets,1.2711753697745358,7,3537.7993264573774,0.0,18,12.5
Flow IAT Max,1.1283893941635101,15,26887.836221643192,0.0,10,12.5
Protocol,0.9780470712502187,22,41237.117765339935,0.0,7,14.5
rolling_mean_bwd_pkts,1.21129834111355,10,3533.3961940971017,0.0,19,14.5
Flow Packets/s,1.2197287141176045,9,2508.620531499675,0.0,24,16.5
Flow IAT Std,1.0322386817069065,21,17853.784243483457,0.0,15,18.0
Bwd PSH Flags,0.646735297963136,27,31001.87389587526,0.0,9,18.0
Flow Bytes/s,1.1274763230817144,16,2737.615765159754,0.0,22,19.0
Total Length of Fwd Packets,1.083777886878123,19,2824.5881669722103,0.0,21,20.0
var_flow_duration,1.0682488305308788,20,2877.8612416154783,0.0,20,20.0
Total Fwd Packets,0.9576381007568493,23,289.4370187333497,0.0,26,24.5
rolling_mean_fwd_pkts,0.9172186363904977,24,127.85804291505734,2.43682070767292e-188,27,25.5
Fwd URG Flags,0.01891344104906656,29,2580.426064398431,0.0,23,26.0
delta_packets_per_s,0.868772687629471,25,1.5034438397765537,0.16077687791740125,28,26.5
Fwd PSH Flags,0.32742464413825134,28,1494.2902233775249,0.0,25,26.5
delta_bytes_per_s,0.7146180925158192,26,0.8611406015768608,0.5364882478312214,29,27.5
Bwd URG Flags,0.0,30,0.0,1.0,30,30.0
